,T7,F8,Cz,P4
6000,12.994282722473145,-59.48871994018555,188.34510803222656,-115.80599975585938
6001,44.596435546875,-20.459123611450195,225.03726196289062,-88.4486312866211
6002,100.9604721069336,39.61114883422852,289.5692443847656,-38.31901550292969
6003,81.89446258544922,19.09405899047852,268.93246459960943,-56.98859405517578
6004,18.480714797973636,-53.75171279907226,201.3076019287109,-120.75389099121094
6005,58.21341323852539,-22.127117156982425,241.1637115478516,-86.27949523925781
6006,115.32168579101562,32.05655288696289,310.8230895996094,-28.74861145019531
6007,96.8091812133789,7.866879463195801,287.5908203125,-56.60712432861328
6008,38.69487380981445,-54.0509033203125,228.17877197265625,-120.98576354980469
6009,70.26336669921875,-18.727548599243164,260.51022338867193,-81.45127868652344
6010,126.41049194335938,41.48857879638672,310.88665771484375,-24.47390556335449
6011,93.48440551757812,11.917191505432127,275.73907470703125,-52.62787246704102
6012,29.247886657714844,-64.27578735351561,207.23159790039062,-115.25249481201172
6013,55.98443222045898,-24.034467697143555,239.59669494628903,-82.9435043334961
6014,111.22649383544922,23.27526664733887,288.50335693359375,-34.57163619995117
6015,79.24286651611328,1.9316582679748533,251.6541290283203,-60.37320327758789
6016,15.309280395507812,-60.965980529785156,192.0924835205078,-124.41151428222656
6017,47.26298522949219,-28.02120018005371,226.2863922119141,-88.90863800048828
6018,111.39105224609376,37.88331604003906,289.7562255859375,-30.45400619506836
6019,84.23189544677734,8.947710990905762,260.37557983398443,-58.18910217285156
6020,13.626325607299805,-52.49884414672852,197.2647705078125,-122.69490051269531
6021,46.71321868896485,-16.831418991088867,237.2031555175781,-83.82611846923828
6022,102.03382110595705,38.279747009277344,302.5130310058594,-26.725324630737305
6023,81.80470275878906,16.064741134643555,277.1265869140625,-53.97423553466797
6024,28.06608009338379,-55.86101531982422,212.8414459228516,-119.3589096069336
6025,61.68777847290039,-26.06523323059082,249.5298614501953,-85.94664001464844
6026,117.35993194580078,37.17647552490234,306.6231689453125,-25.32286262512207
6027,90.69818115234376,3.270542621612549,267.2794189453125,-57.28778839111328
6028,29.98090744018555,-59.6794548034668,208.9444732666016,-118.6408462524414
6029,63.34081649780274,-30.407257080078125,243.6844024658203,-86.08876037597656
6030,116.46422576904295,26.168079376220703,292.2021179199219,-31.91443634033203
6031,88.47481536865234,1.4847402572631836,254.8255615234375,-63.10894012451172
6032,24.03259658813477,-59.36343383789063,188.84625244140625,-123.62425994873048
6033,54.9840087890625,-29.86310195922852,226.87728881835938,-88.7983169555664
6034,106.63202667236328,34.911964416503906,285.8630065917969,-27.62851142883301
6035,83.48578643798828,-1.6193766593933103,260.94778442382807,-55.34490966796875
6036,28.116567611694336,-49.99872207641602,201.6105194091797,-115.44884490966795
6037,60.6649169921875,-18.53494453430176,236.8628234863281,-89.93524169921875
6038,111.8978042602539,37.36907958984375,302.1352844238281,-28.15209770202637
6039,87.2219467163086,5.707087516784668,275.63436889648443,-59.07733154296875
6040,22.9704647064209,-60.496620178222656,212.36648559570312,-118.78483581542969
6041,58.56309509277344,-31.48995780944824,245.37109375,-87.30235290527344
6042,114.85606384277344,30.21839141845703,309.7684326171875,-29.99586677551269
6043,88.71416473388672,2.771265983581543,272.52651977539057,-65.78671264648439
6044,30.753196716308594,-66.02419281005861,207.42233276367188,-119.92176055908205
6045,64.09440612792969,-28.195106506347656,239.94076538085938,-90.7617645263672
6046,122.0329360961914,29.294635772705078,298.9563903808594,-33.346817016601555
6047,95.97331237792969,-5.5574913024902335,261.12728881835943,-66.2579345703125
6048,35.74970245361328,-61.49891662597656,204.68472290039062,-123.77759552001952
6049,60.75093460083008,-24.380407333374023,236.39907836914062,-92.3736572265625
6050,111.0525894165039,25.91750717163086,288.0209045410156,-39.52513122558594
6051,79.2559585571289,3.182654857635498,257.21160888671875,-69.09278106689453
6052,15.894575119018555,-53.63764572143555,195.5481414794922,-129.30143737792972
