,T7,F8,Cz,P4
4400,370.5343322753906,-1270.064453125,434.59320068359375,491.5762023925781
4401,373.9114685058594,-1264.3685302734375,427.3677062988281,484.4554138183594
4402,365.0778198242188,-1266.7470703125,430.6700439453125,496.0416259765625
4403,372.5351867675781,-1261.68701171875,435.2102966308594,499.8638000488281
4404,368.9261779785156,-1260.69970703125,431.8593444824219,501.8272705078125
4405,363.836181640625,-1275.8800048828125,424.6001892089844,497.21221923828125
4406,363.9707946777344,-1265.6588134765625,428.7477416992188,499.6805419921875
4407,358.2712097167969,-1266.0364990234375,428.2129211425781,495.82470703125
4408,372.3444519042969,-1255.9649658203125,444.05889892578125,515.025390625
4409,373.0176086425781,-1260.314453125,435.8011779785156,499.4673767089844
4410,356.55084228515625,-1265.7747802734375,433.9798583984375,506.21417236328125
4411,366.7308349609375,-1270.662841796875,432.5175476074219,501.33734130859375
4412,369.2814636230469,-1257.0533447265625,441.8635559082031,504.1796569824219
4413,352.5940246582031,-1272.56640625,428.0633239746094,492.4400939941406
4414,381.2042541503906,-1277.353515625,434.8699645996094,508.4057312011719
4415,360.1748046875,-1265.583984375,426.0213623046875,494.0819091796875
4416,379.7419738769531,-1254.81689453125,435.9096374511719,497.8143310546875
4417,364.0418701171875,-1272.6785888671875,419.0801086425781,487.4024658203125
4418,360.6535034179688,-1266.919189453125,416.1891479492188,488.91339111328125
4419,372.78948974609375,-1259.551513671875,425.7745056152344,486.3104248046875
4420,371.5328674316406,-1261.911376953125,432.4913940429688,497.6983947753906
4421,365.5939331054688,-1261.1260986328125,429.5405883789063,498.7081909179688
4422,355.29425048828125,-1275.93798828125,423.1304016113281,501.2569274902344
4423,361.8278503417969,-1268.476806640625,433.8040771484375,506.5638427734375
4424,370.2875061035156,-1268.0953369140625,438.1012268066406,504.151611328125
4425,358.390869140625,-1259.25048828125,426.3018493652344,499.2897338867188
4426,363.96331787109375,-1269.729736328125,428.5233459472656,507.96630859375
4427,374.64447021484375,-1269.59130859375,433.8078308105469,500.1274719238281
4428,360.59368896484375,-1263.7982177734375,433.6844177246094,496.6418762207031
4429,380.6806640625,-1264.9351806640625,437.4766540527344,505.7186279296875
4430,352.38458251953125,-1271.4537353515625,426.4103088378906,489.63330078125
4431,381.7577819824219,-1256.3594970703125,439.0885620117188,500.6061706542969
